field_name,num_records_sample,num_missing,pct_missing,num_unique_values,num_suspicious_values,num_duplicates,sample_issues_noted,quality_flags_observed
job_id,45,0,0.0%,45,0,0,"100% complete. Unique 16-character hexadecimal hash string, compliant with internal primary key standard.",NONE
source,45,0,0.0%,1,0,0,100% of records from 'ITviec'. Sample currently lacks postings from secondary sources (TopCV/VietnamWorks) as outlined in proposal.,NONE
source_job_id,45,0,0.0%,45,0,0,100% complete. Source platform UUID format with zero nulls or duplicates.,NONE
source_url,45,0,0.0%,45,0,0,100% valid URLs pointing to live ITviec postings. Zero exact duplicate URLs detected (exact duplicates = 0).,NONE
crawl_timestamp,45,0,0.0%,45,0,0,"100% complete with valid ISO 8601 UTC timestamps (2026-09-15T13:29:56Z to 13:31:58Z), harvested in a continuous batch.",NONE
parser_version,45,0,0.0%,1,0,0,100% consistent with parser version 'v0.1'.,NONE
raw_job_title,45,0,0.0%,45,8,0,"0 missing, 45 distinct titles. High formatting noise: 1 title contains embedded salary ('Up to 75M'), 1 contains perks ('- BONUS'), 1 has trailing syntax noise ('English required, /'), 1 typo ('Appllication/Intergration'), 4 out-of-scope roles (SAP FICO, Scholarship, Ad Monetization, BA/QA). 34/45 titles concatenate tech stack skills.","AMBIGUOUS_TITLE, TITLE_NOISE"
company,45,0,0.0%,37,0,0,"100% complete across 37 unique employers. Companies with multiple postings include MB Bank (5), EPAM (2), FPT Software (2), Nexlab (2), and ITviec Consulting (2).",NONE
raw_location,45,0,0.0%,19,45,0,"NOTE: num_missing=0 at raw stage because 'Not Available' is valid raw content per QR-01 §2.1 — placeholder strings from the source website are NOT considered missing until normalization. After QR-02 normalization, 20 records will yield null (44.4%). Breakdown: 20 records contain 'Not Available' at any position (44.4%); 8 records are multi-location strings with comma separator (e.g., 'Quan 1, Quan Dong Da', 'Quan Ba Dinh, Not Available'); 21 records contain district-only names (Quan 1 Quan 7 Thanh Xuan Cau Giay Tay Ho Nam Tu Liem Thanh pho Thu Duc...) without city names. Note: groups overlap — some multi-region records also contain 'Not Available'.","MISSING_LOCATION, LOCATION_UNRECOGNIZED"
posted_date,45,0,0.0%,17,0,0,100% complete with valid YYYY-MM-DD format spanning from 2026-08-13 to 2026-09-15 (within the past month).,NONE
raw_experience,45,0,0.0%,10,45,0,"SCRAPER FIELD MISMATCH (not truly missing): 100% of records store working mode or physical office addresses instead of experience years. num_missing=0 because field is always populated with INCORRECT content. Breakdown (substring match): 'At office': 33 (all exact); 'Hybrid': 5 (3 exact: #16,#30,#43 + 2 composite 'Hybrid,[address]': #27,#33); 'Remote': 2 (1 exact: #41 + 1 composite 'Remote,Da Nang': #15); office address only: 5 (#09,#10,#20,#28,#45). Scraper fix required from Dat.","SCRAPER_FIELD_MISMATCH, EXPERIENCE_PARSE_FAILED"
education,45,45,100.0%,0,0,0,"100% null because ITviec lacks a dedicated education field on job cards. Educational requirements are embedded inside job_requirements prose (e.g., 'Bachelor's or Master's degree').",MISSING_EDUCATION
job_description,45,0,0.0%,45,0,0,"100% complete and highly detailed. Length ranges from 452 to 4,835 characters (mean ~1,550 characters). Zero truncated scrapes (<50 chars). Excellent textual quality.",NONE
job_requirements,45,0,0.0%,45,0,0,"100% complete and detailed. Length ranges from 515 to 4,730 characters (mean ~1,250 characters). Contains all requisite signals for experience years, education, and skill extraction.",NONE
salary_raw,45,45,100.0%,0,0,0,"100% null in sample. ITviec gates salary behind user login or sets to negotiable; scraper did not extract this field. Exceptionally, 1 job embedded salary in job_title ('Up to 75M').",MISSING_SALARY
relevance_check,45,0,0.0%,2,4,0,"Identified 4/45 postings (8.9%) outside Data/AI scope per Scope §7: #6 Senior SAP Specialist (ERP), #10 VPBank Scholarship (general), #11 Monetization Specialist (Marketing/AdOps), #12 Internship BA/QA (Software Testing). Target for relevance_flag=false with exclusion_reason='NOT_DATA_AI_ROLE'.",NOT_DATA_AI_ROLE
duplicate_check,45,0,0.0%,44,2,0,"Exact duplicate (same URL) = 0. Verified via TF-IDF cosine + Jaccard computed from data. MB Bank pair #36 ('Senior AI Expert Machine Learning Deep Learning LLM') vs #40 ('AI Expert Computer Vision/NLP/LLM'): Title Jaccard=0.30 (below 60% threshold) JD cosine=0.988 (above 80%) — NOT flagged by QR-05 AND-logic despite near-identical JD; flagged for Leader review. EPAM pair #27 ('Snr/Lead Data Engineer Pyspark Snowflake') vs #33 ('Snr/Lead Data Software Engineer Pyspark Snowflake'): Title Jaccard=0.75 (above 60%) JD cosine=0.51 (below 80%) — JD-gate correctly rejects; two distinct role descriptions.","DUPLICATE_NEAR_CANDIDATE, SENIORITY_VARIANT"
